timestamp,x,y,z
1759160971514,0.0000,0.0000,9.8000
1759160971554,0.0000,0.0000,9.8000
1759160971594,0.0000,0.0000,9.8000
1759160971634,0.0000,0.0000,9.8000
1759160971674,0.0000,0.0000,9.8000
1759160971714,0.0000,0.0000,9.8000
1759160971754,0.0000,0.0000,9.8000
1759160971794,0.0000,0.0000,9.8000
1759160971834,0.0000,0.0000,9.8000
1759160971874,0.0000,0.0000,9.8000
1759160971914,0.0000,0.0000,9.8000
1759160971954,0.0000,0.0000,9.8000
1759160971994,0.0000,0.0000,9.8000
1759160972034,0.0000,0.0000,9.8000
1759160972074,0.0000,0.0000,9.8000
1759160972114,0.0000,0.0000,9.8000
1759160972154,0.0000,0.0000,9.8000
1759160972194,0.0000,0.0000,9.8000
1759160972234,0.0000,0.0000,9.8000
1759160972274,0.0000,0.0000,9.8000
1759160972314,0.0000,0.0000,9.8000
1759160972354,0.0000,0.0000,9.8000
1759160972394,0.0000,0.0000,9.8000
1759160972434,0.0000,0.0000,9.8000
1759160972474,0.0000,0.0000,9.8000
1759160972514,0.0000,0.0000,9.8000
1759160972554,0.0000,0.0000,9.8000
1759160972594,0.0000,0.0000,9.8000
1759160972634,0.0000,0.0000,9.8000
1759160972674,0.0000,0.0000,9.8000
1759160972714,0.0000,0.0000,9.8000
1759160972754,0.0000,0.0000,9.8000
1759160972794,0.0000,0.0000,9.8000
1759160972834,0.0000,0.0000,9.8000
1759160972874,0.0000,0.0000,9.8000
1759160972914,0.0000,0.0000,9.8000
1759160972954,0.0000,0.0000,9.8000
1759160972994,0.0000,0.0000,9.8000
1759160973034,0.0000,0.0000,9.8000
1759160973074,0.0000,0.0000,9.8000
1759160973114,0.0000,0.0000,9.8000
1759160973154,0.0000,0.0000,9.8000
1759160973194,0.0000,0.0000,9.8000
1759160973234,0.0000,0.0000,9.8000
1759160973274,0.0000,0.0000,9.8000
1759160973314,0.0000,0.0000,9.8000
1759160973354,0.0000,0.0000,9.8000
1759160973394,0.0000,0.0000,9.8000
1759160973434,0.0000,0.0000,9.8000
1759160973474,0.0000,0.0000,9.8000
1759160973514,0.0000,0.0000,9.8000
1759160973554,0.0000,0.0000,9.8000
1759160973594,0.0000,0.0000,9.8000
1759160973634,0.0000,0.0000,9.8000
1759160973674,0.0000,0.0000,9.8000
1759160973714,0.0000,0.0000,9.8000
1759160973754,0.0000,0.0000,9.8000
1759160973794,0.0000,0.0000,9.8000
1759160973834,0.0000,0.0000,9.8000
1759160973874,0.0000,0.0000,9.8000
1759160973914,0.0000,0.0000,9.8000
1759160973954,0.0000,0.0000,9.8000
1759160973994,0.0000,0.0000,9.8000
1759160974034,0.0000,0.0000,9.8000
1759160974074,0.0000,0.0000,9.8000
1759160974114,0.0000,0.0000,9.8000
1759160974154,0.0000,0.0000,9.8000
1759160974194,0.0000,0.0000,9.8000
1759160974234,0.0000,0.0000,9.8000
1759160974274,0.0000,0.0000,9.8000
1759160974314,0.0000,0.0000,9.8000
1759160974354,0.0000,0.0000,9.8000
1759160974394,0.0000,0.0000,9.8000
1759160974434,0.0000,0.0000,9.8000
1759160974474,0.0000,0.0000,9.8000
1759160974514,0.0000,0.0000,9.8000
1759160974554,0.0000,0.0000,9.8000
1759160974594,0.0000,0.0000,9.8000
1759160974634,0.0000,0.0000,9.8000
1759160974674,0.0000,0.0000,9.8000
1759160974714,0.0000,0.0000,9.8000
1759160974754,0.0000,0.0000,9.8000
1759160974794,0.0000,0.0000,9.8000
1759160974834,0.0000,0.0000,9.8000
1759160974874,0.0000,0.0000,9.8000
1759160974914,0.0000,0.0000,9.8000
1759160974954,0.0000,0.0000,9.8000
1759160974994,0.0000,0.0000,9.8000
1759160975034,0.0000,0.0000,9.8000
1759160975074,0.0000,0.0000,9.8000
1759160975114,0.0000,0.0000,9.8000
1759160975154,0.0000,0.0000,9.8000
1759160975194,0.0000,0.0000,9.8000
1759160975234,0.0000,0.0000,9.8000
1759160975274,0.0000,0.0000,9.8000
1759160975314,0.0000,0.0000,9.8000
1759160975354,0.0000,0.0000,9.8000
1759160975394,0.0000,0.0000,9.8000
1759160975434,0.0000,0.0000,9.8000
1759160975474,0.0000,0.0000,9.8000
1759160975514,0.0000,0.0000,9.8000
1759160975554,0.0000,0.0000,9.8000
1759160975594,0.0000,0.0000,9.8000
1759160975634,0.0000,0.0000,9.8000
1759160975674,0.0000,0.0000,9.8000
1759160975714,0.0000,0.0000,9.8000
1759160975754,0.0000,0.0000,9.8000
1759160975794,0.0000,0.0000,9.8000
1759160975834,0.0000,0.0000,9.8000
1759160975874,0.0000,0.0000,9.8000
1759160975914,0.0000,0.0000,9.8000
1759160975954,0.0000,0.0000,9.8000
1759160975994,0.0000,0.0000,9.8000
1759160976034,0.0000,0.0000,9.8000
1759160976074,0.0000,0.0000,9.8000
1759160976114,0.0000,0.0000,9.8000
1759160976154,0.0000,0.0000,9.8000
1759160976194,0.0000,0.0000,9.8000
1759160976234,0.0000,0.0000,9.8000
1759160976274,0.0000,0.0000,9.8000
1759160976314,0.0000,0.0000,9.8000
1759160976354,0.0000,0.0000,9.8000
1759160976394,0.0000,0.0000,9.8000
1759160976434,0.0000,0.0000,9.8000
1759160976474,0.0000,0.0000,9.8000
1759160976514,0.0000,0.0000,9.8000
1759160976554,14.2658,10.2682,24.0658
1759160976594,8.8168,14.9704,18.6168
1759160976634,-8.8168,11.5577,0.9832
1759160976674,-14.2658,1.8800,-4.4658
1759160976714,-0.0000,-8.8168,9.8000
1759160976754,14.2658,-14.7343,24.0658
1759160976794,8.8168,-12.6649,18.6168
1759160976834,-8.8168,-3.7303,0.9832
1759160976874,-14.2658,7.2263,-4.4658
1759160976914,-0.0000,14.2658,9.8000
1759160976954,14.2658,13.5724,24.0658
1759160976994,8.8168,5.5219,18.6168
1759160977034,-8.8168,-5.5219,0.9832
1759160977074,-14.2658,-13.5724,-4.4658
1759160977114,-0.0000,-14.2658,9.8000
1759160977154,14.2658,-7.2263,24.0658
1759160977194,8.8168,3.7303,18.6168
1759160977234,-8.8168,12.6649,0.9832
1759160977274,-14.2658,14.7343,-4.4658
1759160977314,-0.0000,8.8168,9.8000
1759160977354,14.2658,-1.8800,24.0658
1759160977394,8.8168,-11.5577,18.6168
